Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
24770000,1.9699689,5999.0,1219.9871915068197,-0.002410526,0.0,0.0,1.0
24780000,1.9737059,5999.0,1219.9782956813883,-0.0024441588,0.0,0.0,1.0
24790000,1.9813424,5999.0,1219.963299438752,-0.0019055752,0.0,0.0,1.0
24800000,1.9782481,5999.0,1219.9630927550008,-0.0018902449,0.0,0.0,1.0
24810000,1.9922566,5999.0,1219.9630927550008,-0.0014557999,None,None,1.0
24820000,1.9813612,5999.0,1219.963296557522,-0.0016282297,0.0,0.0,1.0
24830000,1.9586344,5999.0,1219.9644723448666,0.0019978937,0.0,0.0,1.0
24840000,1.9620605,5999.0,1219.9636943607736,0.0020300213,0.0,0.0,1.0
24850000,1.995393,5999.0,1219.9583513472776,0.001851747,0.0,0.0,1.0
24860000,1.9872202,3200.5,1219.9543449966732,0.0016120463,0.0,0.0,1.0
24870000,1.9505931,1416.0,1219.4440814047693,-0.009210124,-0.5,-0.5,1.0
24880000,1.9712508,1906.0,1219.439631985269,-0.00097464374,0.0,0.0,1.0
24890000,1.9343683,3066.0,1219.4356029715177,-0.0030903958,0.0,0.0,1.0
24900000,1.921245,4533.5,1219.435446488327,-0.002114974,0.0,0.0,1.0
24910000,1.9218217,5999.0,1219.4273748817575,-0.0036758545,None,None,1.0
24920000,1.9334093,5136.333333333333,1219.4257589058518,-0.0019773827,0.0,0.0,1.0
24930000,1.895073,5999.0,1219.4139425777412,-0.0030515161,0.0,0.0,1.0
24940000,1.9136354,5999.0,1219.4119778239397,-0.039096892,0.0,0.0,1.0
24950000,1.9189631,5999.0,1219.4078770550818,-0.02223392,0.0,0.0,1.0
24960000,1.9116045,5999.0,1219.3988414856021,-0.018880332,0.0,0.0,1.0
24970000,1.9142748,5999.0,1219.4015137031154,-0.018390715,0.0,0.0,1.0
