Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1030000,5.448622,677.6,1198.7917648733735,0.013225947,-0.2,-0.2,1.0
1040000,5.435723,922.7,1197.5210201325708,0.008161915,-0.36363636363636365,-0.36363636363636365,1.0
1050000,5.43538,710.9333333333333,1196.7995042110858,0.0051084734,0.0,0.0,1.0
1060000,5.4376974,988.9,1197.4047669590514,0.0042445133,-0.1,-0.1,1.0
1070000,5.437694,755.6923076923077,1198.690350715427,0.007905074,0.35714285714285715,0.35714285714285715,1.0
1080000,5.4230757,1189.125,1199.9881498269397,0.009460031,-0.125,-0.125,1.0
1090000,5.4145045,981.1,1198.0502163574433,0.0079377005,-0.4,-0.4,1.0
1100000,5.4194374,881.3636363636364,1197.0970701994286,0.0014472208,-0.6363636363636364,-0.6363636363636364,1.0
1110000,5.419489,1315.5,1193.9078932691536,-0.000100233716,-0.625,-0.625,1.0
1120000,5.41692,1563.2857142857142,1193.5910188001785,0.001314506,-0.16666666666666666,-0.16666666666666666,1.0
1130000,5.398555,1359.857142857143,1193.001352721136,0.001822929,0.0,0.0,1.0
1140000,5.426197,1283.7142857142858,1192.9887990832374,-0.004641437,-0.375,-0.375,1.0
1150000,5.405117,1107.2,1192.559383116498,-0.004513216,0.1111111111111111,0.1111111111111111,1.0
1160000,5.397751,872.9166666666666,1192.1744252165483,-0.006475679,0.0,0.0,1.0
1170000,5.4185667,978.8,1192.487031174501,-0.008399245,-0.2,-0.2,1.0
1180000,5.4209137,1141.125,1192.610885145214,-0.0052741594,0.2222222222222222,0.2222222222222222,1.0
1190000,5.4063005,1552.4285714285713,1192.9800765458046,-0.00636169,-0.3333333333333333,-0.3333333333333333,1.0
1200000,5.398314,1003.0,1193.490851078657,-0.008287547,0.2,0.2,1.0
1210000,5.414049,1252.625,1194.9195171578604,-0.0113654565,0.5,0.5,1.0
